40,0
33,8
19,6
76,8
59,1
14,7
92,3
60,7
68,2
103,2
83,3
42,6
35,4
52,5
39,3
95,6
34,2
91,9
35,8
86,8
91,7
24,4
54,8
48,2
13,3
61,4
62,3
31,4
79,0
54,4
20,6
46,8
66,6
97,8
89,1
38,7
38,7
47,8
80,5
90,5
30,3
90,1
109,5
32,5
95,0
16,4
42,7
17,0
69,9
13,0
25,7
52,5
81,0
109,1
60,0
23,4
91,8
38,8
16,5
76,1
105,2
75,0
78,3
89,4
81,6
59,0
81,1
56,2
87,1
37,4
323,14
489,29
230,24
447,25
462,25
370,17
557,18
116,14
198,16
531,20
490,15
543,23
260,22
515,15
425,24
306,30
143,16
315,14
103,22
138,22
430,23
590,14
377,15
571,27
577,14
417,16
122,12
331,24
481,26
555,21
317,19
271,19
342,19
585,26
224,28
452,16
303,26
470,15
445,17
546,28
146,15
507,25
461,11
220,29
331,18
428,26
379,12
318,16
301,11
385,13
465,25
317,25
325,20
121,16
259,11
242,26
112,27
562,28
573,11
543,22
465,26
390,25
125,12
151,18
152,28
388,12
106,29
206,23
367,27
412,22
378,25
426,12
740,18
754,27
596,21
234,26
368,22
527,26
798,18
451,12
802,14
417,13
651,29
377,30
966,12
1007,19
209,12
182,12
554,12
378,12
1056,20
203,22
415,21
126,13
569,27
677,11
184,25
558,14
1080,12
921,28
593,23
738,17
778,24
431,15
345,28
724,14
1047,28
498,26
832,29
870,22
928,18
797,19
569,24
829,14
377,23
559,15
1064,16
1073,15
688,19
616,17
253,24
362,13
380,30
913,13
927,28
116,30
1062,19
1095,15
370,17
811,17
234,25
1017,23
721,11
247,17
143,11
997,21
243,22
1097,21
978,26
662,16
