65,7
20,8
102,1
12,7
104,9
44,2
93,8
75,3
89,1
106,3
105,1
70,4
101,1
63,5
77,1
23,4
42,5
100,3
84,6
66,7
55,8
73,4
35,3
64,9
45,6
82,6
21,2
46,6
14,9
82,1
28,4
64,8
34,3
26,3
27,4
80,0
83,3
65,4
72,3
90,8
78,1
42,5
53,5
60,3
45,4
54,1
85,9
17,3
73,0
54,3
29,5
75,6
31,6
83,6
80,0
74,7
80,9
42,5
53,5
40,6
15,3
47,0
90,2
72,1
51,8
87,6
36,6
73,4
104,2
51,9
521,26
101,15
338,17
408,25
403,26
400,26
141,19
287,18
386,16
397,18
343,28
340,14
251,19
542,23
379,13
269,16
411,24
494,18
599,22
507,24
102,26
576,16
204,21
269,28
216,26
503,29
149,27
496,14
371,12
453,18
232,13
415,15
184,11
389,27
458,24
206,29
418,24
538,14
389,29
424,30
156,19
508,25
413,21
546,30
544,20
136,27
154,17
311,20
508,23
229,15
234,27
412,13
578,16
527,14
576,19
279,23
209,15
456,25
290,18
258,15
283,24
563,16
120,22
383,27
318,20
219,16
171,23
542,16
381,21
262,14
950,15
555,20
138,25
228,13
545,11
179,24
396,16
322,15
450,27
208,11
816,25
321,27
330,25
420,21
213,20
1063,16
1075,30
920,21
833,19
642,12
224,27
714,22
950,23
270,22
681,16
697,17
144,15
693,29
646,24
1085,21
404,25
926,22
1081,15
562,20
192,15
520,20
887,18
923,25
895,19
381,19
741,26
1096,20
860,26
762,24
596,16
146,11
667,12
635,26
910,26
364,20
549,25
1041,20
160,24
577,28
1082,26
333,20
161,24
466,29
990,18
795,26
303,14
1095,12
566,20
626,26
126,11
362,19
258,27
265,24
818,30
553,27
