Couple 1  feyufpzee lhinb
540  13
17  8
88  2
15  3
27  5
94  3
93  8
17  0
71  1
44  7
Couple 2  ujmts zkeihy
18  1 
229 12
Couple 3  pwkpmhb zkeihy
17  8
39  6
51  4
59  3
Couple 4  obdoeyiwbiee evibovzc
1018  15
54  9
73  1
54  3
54  3
66  5
90  3
71  1
17  8
67  0
88  2
51  4
54  2
12  6
55  6
19  0
88  6
90  3
105  9
19  0
87  5
16  5
93  5
76  0
Couple 5  bxpvzuwdn nkmqxku
17  8
39  6
51  4
59  3
66  7
71  0
76  0
Couple 6  wsuveaxar pvzyyl
22  1 
114 30
11  6 
217 14
105  9 
122 20
94  3 
489 24
Couple 7  ixgs evibovzc
17  8
39  6
51  4
59  3
66  7
71  0
76  0
85  9
87  5
88  2
Couple 8  gdvoclh bjwbhi
407  12
832  18
44  7
17  8
93  5
57  0
71  1
85  9
57  0
93  5
17  0
79  6
101  9
59  7
75  1
66  5
80  0
Couple 9  bnmfi xqytnxpa
55  6 
464 16
59  3 
292 21
Couple 10  salgsxxt lylbwlq
41  7 
581 14
71  1 
559 19
Couple 11  dkl lylbwlq
26  1 
297 22
55  6 
469 29
84  9 
370 15
Couple 12  yup ekugakyw
1040  24
27  5
16  5
101  9
31  7
11  6
101  9
19  0
17  8
93  5
94  3
104  8
54  2
47  5
90  7
104  8
66  5
25  1
88  7
