1,1,2846,1
1,0,1786,1
2,5,2876,0
3,2,2332,1
4,4,2895,4
6,8,1196,1
2,3,1928,0
4,6,1361,1
4,4,2676,4
7,4,2636,2
0,6,1272,3
6,3,1879,0
3,3,2178,0
8,0,1910,3
7,4,2284,0
9,2,2199,2
7,8,2186,3
7,0,2627,2
1,0,1608,3
9,6,1660,0
0,2,2734,1
8,8,1839,2
0,8,2830,0
7,7,1329,2
0,7,2146,4
5,5,1204,1
2,5,2672,4
6,7,2720,4
0,5,1815,1
2,7,2060,0
8,2,2145,0
8,5,1012,4
8,4,1025,2
9,5,1330,1
1,8,2212,1
1,5,2487,2
5,5,1346,0
6,5,2576,1
2,6,1275,1
0,4,1091,1
6,3,1563,4
0,9,1073,1
9,5,2120,3
7,6,2260,2
4,0,2625,2
9,7,2559,1
8,6,1086,2
8,4,2243,4
9,5,1476,4
0,7,2134,3
7,6,1024,0
0,0,2443,0
6,8,1832,2
3,2,2430,4
7,3,1247,2
0,9,1174,4
1,1,1152,4
3,1,1588,0
