jnsar,2,0,2467,2
ahypcu,1,9,2846,2
pytgizrmrwj,1,3,2892,1
jsgwofaqs,2,5,1015,2
ppylung,2,9,1143,2
jhho,1,3,1201,2
whhjdaf,0,8,2477,0
lglebyd,1,6,2133,0
rtbddcoqclz,1,1,1411,2
hgifbyy,1,2,2216,1
eoivdalzmm,0,9,2734,1
lvkpr,0,6,1524,1
ijzmjxbd,0,0,1308,1
zepzqliuh,0,3,2919,1
wzdzroori,2,2,1732,2
mjzcoagydmp,1,0,1100,0
zafwkikk,1,8,2091,2
fzrasnbbtj,2,6,1206,0
jmnt,0,3,2179,0
imstxft,2,9,1736,2
pqkhhi,1,1,2048,0
megxjwlxebi,1,0,2246,2
tjdcgnoekl,0,9,1048,2
vdbqttfqdmeq,0,8,2172,1
hvqoplsofqzp,0,3,2300,0
kfiz,1,8,1963,0
ixoyakx,0,5,2282,2
ccgxtywausxj,1,8,2383,1
zzomqxwlxpu,2,1,1510,1
flcpjhkcj,2,0,2489,1
itdvvk,1,7,1777,0
ovarai,2,9,1460,2
ifpwmm,0,4,2045,2
bklovpysyi,1,8,1889,2
hxuanov,2,3,2880,1
warcbs,1,4,2005,2
jzitkn,2,8,1361,1
geri,0,9,2152,2
hvejy,0,6,1831,0
eozkew,0,0,2387,0
jtil,1,6,2432,2
hjrh,0,5,2048,1
qwwmpkodooao,0,0,1007,2
zhquqyexlvy,0,6,1362,2
qqqrhgbsnx,2,0,1742,2
tgumre,0,2,1940,2
xzivvqcgk,2,1,1997,1
noh,0,5,1711,2
