8,9,2462,3
5,0,1377,4
4,3,2285,4
3,3,1487,1
7,2,2633,2
4,5,1035,3
9,9,2315,0
0,8,1284,1
9,8,2986,3
1,9,2843,0
5,3,2369,2
5,2,2693,0
9,9,1485,1
0,3,1286,2
2,3,2813,0
3,2,1942,3
6,5,1360,0
4,1,1936,2
4,8,2665,0
2,0,1918,0
0,1,2846,2
0,5,1902,4
2,4,2324,4
2,9,1887,0
0,8,2004,0
2,1,2196,3
5,4,1209,3
1,7,1087,0
6,5,1935,2
4,1,2566,3
9,1,2693,2
7,8,2882,0
0,6,2347,1
9,5,2395,4
4,6,2388,3
8,2,1132,0
0,8,2997,0
4,2,1796,4
7,7,1972,1
2,1,2979,1
8,0,1337,0
2,1,2936,1
6,7,1967,1
5,6,1241,4
6,2,1027,4
3,2,2587,3
7,8,1620,2
2,0,2229,4
4,4,1361,2
9,1,1041,2
1,9,1566,0
7,5,1067,4
3,3,1230,2
1,1,1183,1
0,8,1721,0
7,4,1422,3
4,1,1176,1
2,5,1129,1
