Couple 1  iph ufcuye
14  3
16  4
20  1
26  2
30  8
34  3
55  4
66  3
70  7
100  0
Couple 2  hcgbnjpv iygtf
45  7 
152 24
Couple 3  wqegdlng quftjb
199  27
841  25
54  9
12  9
39  4
55  4
57  7
89  9
102  6
20  1
103  0
102  4
97  5
16  6
14  3
34  6
107  8
45  7
30  8
19  2
89  9
Couple 4  ezxzsjlw snnqbr
288  23
172  14
766  12
Couple 5  oang zkutyzwdn
639  20
628  29
97  5
37  1
57  6
15  7
16  6
72  3
57  6
100  0
23  8
95  7
67  6
14  3
23  8
14  3
39  4
102  6
53  1
106  3
95  5
106  3
82  3
105  9
103  0
107  8
63  8
Couple 6  sbobh vooyadknj
14  3
16  4
20  1
26  2
30  8
34  3
55  4
66  3
70  7
100  0
103  8
Couple 7  imslcktrp fodchime
36  9 
598 24
Couple 8  jkgvrjd riarvmsuc
36  9 
286 27
70  7 
482 23
Couple 9  zodviimq tsoxio
706  19
105  3
16  6
102  6
39  4
57  7
34  6
103  0
81  5
10  0
16  4
15  7
100  0
62  4
58  1
81  1
89  9
36  9
103  0
29  4
19  2
30  8
89  9
30  4
11  5
70  7
95  5
72  3
106  3
106  1
67  6
52  6
103  8
16  4
17  8
12  9
67  6
Couple 10  uddtkwnkgv tmmqnop
105  3 
392 11
95  7 
441 17
Couple 11  rlozp hyzeyqn
81  5 
192 25
55  4 
216 28
39  4 
246 18
Couple 12  bailthwmwyfe assvenxit
288  23
156  22
89  9
45  7
67  6
106  1
10  0
25  2
100  8
23  8
16  6
61  4
82  3
81  1
25  2
54  9
24  4
58  8
14  3
36  9
45  7
65  6
105  9
25  1
107  8
53  1
26  2
106  1
70  7
102  4
19  2
20  1
107  8
103  8
81  5
41  8
54  9
66  3
52  6
12  9
14  3
30  4
107  8
